Title,Seasons,Episodes,Country,Premiere Year,Final Year,Original Channel,Technique
Alienators: Evolution Continues,1,26,United States,2001,2002,Fox Kids,Traditional
Alisa Knows What to Do!,1,24,Russia,2013,2016,"STS, Karusel",CGI
All Dogs Go to Heaven: The Series,3,40,US,1996,1998,"Fox Family Channel, Syndication",Traditional
All Grown Up!,5,55,United States,2003,2008,Nickelodeon,Traditional
All Hail King Julien,,78,United States,2014,2017,Netflix,CGI
All-New Dennis the Menace,1,13,US,1993,1993,CBS,Traditional
Allen Gregory,,7,United States,2011,2011,Fox,Flash
Allsorts,9,212,UK,1987,1990,"ITV, BBC One",Live Action
Alma's Way,1,18,"Canada, United States",2021,Present,PBS Kids,Traditional
Almost Naked Animals,3,52,Canada,2011,2013,"YTV (Canada), Cartoon Network (United States), Disney XD",Flash
Alphablocks,4,91,UK,2010,2013,CBeebies,CGI
Alphablocks,4,91,UK,2021,2022,CBeebies,CGI
Alva's World,1,TBA,Ireland,2021,2021,"Netflix (United States), RTÉjr (Ireland)",Traditional
ALVINNN!!! and the Chipmunks,5,107,"United States, France",2015,Present,"M6 (France), Nickelodeon (United States), Nicktoons (United Kingdom)",CGI
American Dad!,18,321,United States,2005,Present,"Fox (2005–2014), TBS (2014–present)","Traditional (seasons 1–3), Flash (season 4-present)"
American Dragon: Jake Long,2,52,United States,2005,2007,Disney Channel,Traditional
Amphibia,3,58,United States,2019,2022,Disney Channel,Traditional
Anabel,2,23,Brazil,2005,2011,"Nickelodeon Brazil (Season 1), TV Rá-Tim-Bum (Season 2)",Flash
Anatole,1,26,Canada,1998,2000,CBS,Traditional
Angel's Friends,,104,Italy,2009,2010,Italia 1,Flash
Angela Anaconda,3,65,"Canada, US",1999,2002,Fox Family Channel,Stop Motion
Angelina Ballerina,2,20,Britain,2001,2006,PBS Kids,Traditional
Angelina Ballerina: The Next Steps,,39,"Britain, United States",2009,2010,"Milkshake!, PBS Kids",CGI
Angelmouse,1,26,UK,1999,2000,"CBBC, CBeebies, Cartoonito",Traditional
Angelo Rules,,225,"Britain, France",2009,Present,France 3,CGI
Angry Birds Blues,1,30,Finland,2017,2017,Toons.TV,CGI
Angry Birds Slingshot Stories,2,40,Finland,2020,Present,YouTube,CGI
Angry Birds Toons,3,104,Finland,2013,2016,"ToonsTV, Discovey Kids (Latin American)",Flash/Traditional
Angry Birds: Summer Madness,3,36,"United Kingdom, United States, Canada, Finland",2022,Present,Netflix,Flash
Angry Kid,4,66,UK,1999,2007,"Channel 4, BBC Three",Stop Motion
Animal Crackers,3,52,"Canada, France",1997,1997,Teletoon,Traditional
Animal Mechanicals,3,37,Canada,2007,2011,"Kids' CBC, Discovery Kids",CGI
Animal Stories,4,52,US,1999,2002,LWT,Traditional
Animalia,,40,"Australia, Canada, United States",2007,2008,"Network Ten, PBS Kids Go!",CGI
Animals,3,30,United States,2016,2018,HBO,Traditional
Animaniacs,5,99,US,1993,1998,"Fox Kids, Kids' WB",Traditional
Animaniacs (2020),2,26,United States,2020,Present,Hulu,Flash/Traditional
Animated Tales of the World,3,39,"Britain, United States",2001,2002,HBO,Traditional
Animism,2,26,Canada,2013,2014,APTN Kids,Traditional
Anna & Friends,1,78,France,2022,Present,France 5,CGI
Anna's Tales,,52,Italy,2004,2004,"Raisat Ragazzi, Rai 3, Rai Gulp, Rai Yoyo",Flash
Anne of Green Gables: The Animated Series,1,26,Canada,2001,2002,PBS Kids,Traditional
Annedroids,,52,Canada,2014,2017,"Amazon Video, TVOKids",CGI/Live-action
Annoying Orange,14,700,United States,2009,Present,YouTube,"Syncro-Vox/Live-Action, Flash (S4, EP31, EP49 and EP50)"
Anthony Ant,1,27,US,1999,1999,"HBO Family, YTV",Traditional
Ape Escape,,18,United States,2009,2009,Nicktoons Network,Flash
Apollo Gauntlet,1,6,United States,2017,2017,Adult Swim,Traditional
Apple & Onion,2,76,United States,2018,2021,Cartoon Network,Flash
Aqua Teen Hunger Force,11,139,United States,2000,2015,Adult Swim,Flash/Traditional
Aquadonk Side Pieces,1,TBA,United States,2022,2022,YouTube,Flash
Aquaman: King of Atlantis,1,3,United States,2021,2021,HBO Max,Traditional
Arcane,1,9,United States,2021,Present,Netflix,CGI
Archer,,104,United States,2009,Present,"FX, FXX",Flash
Archibald the Koala,1,52,Ireland,1998,2000,RTE,Traditional
Archibald's Next Big Thing,2,26,United States,2019,Present,"Netflix (Next Big Thing), Peacock (Next Big Thing Is Here!)",Flash
Archie's Weird Mysteries,1,40,"France, US",1999,2000,"PAX, M6",Traditional
Argai: The Prophecy,1,26,France,2000,2000,TFI,Traditional
Around the World in 80 Dreams,1,26,"US, France",1992,1992,Canal+,Traditional
Art with Mati and Dada,2,39,Italy,2010,2014,"Rai 3, Rai Yoyo",Flash
Arthur,23,246,"Canada, US",1996,2022,PBS Kids,"Traditional, later Flash"
As Aventuras de Fujiwara Manchester,1,13,Brazil,2017,2017,TV Cultura,CGI
As Aventuras de Gui & Estopa,,65,Brazil,2009,2012,Cartoon Network,Flash
As Told by Ginger,3,60,United States,2000,2006,Nickelodeon,Traditional
asdfmovie,,14,Britain,2008,Present,"Newgrounds, YouTube",Flash
Ask Lara,,26,Spain,2010,2010,BBC Two,Flash
Ask Lara,,,Spain,2011,2011,,Flash
Ask the StoryBots,3,22,United States,2016,2016,Netflix,CGI/Flash
Assy McGee,,20,United States,2006,2008,Adult Swim,Flash
Astro Farm,5,53,UK,1992,1996,CITV,Stop motion
Astroblast!,,52,United States,2014,2015,Sprout,Flash
At Home with Olaf,1,20,United States,2020,2020,YouTube,CGI
Atchoo!,,25,"Italy, Latin America",2018,2019,"Rai Yoyo, Nat Geo Kids",Flash
Atomic Betty,3,79,"Canada, France",2004,2008,"Teletoon, M6, Télétoon",Flash
Atomic Puppet,1,26,"Canada, France",2016,2017,"Teletoon, Disney XD, France 4",Flash
Attack of the Killer Tomatoes,2,21,US,1990,1991,Fox Kids,Traditional
Auto-B-Good,2,63,United States,2005,2006,Syndication,CGI
Avatar: The Last Airbender,3,61,United States,2005,2008,Nickelodeon,Traditional
Avenger Penguins,2,26,UK,1993,1994,CITV,Traditional
Avengers Assemble,5,126,United States,2013,2019,Disney XD,Traditional
Axe Cop,2,22,United States,2013,2015,"Fox, FXX",Traditional
B. Happy,1,4,US,1999,2003,Cartoon Network (Website),Flash
B.O.T. and The Beasties,2,50,United Kingdom,2021,2022,CBebbies,Flash
Ba Da Bean,1,52,Brazil,2021,Present,Discovery+,Flash
Babar,6,78,Canada,1989,1991,"CBC, HBO",Traditional
Babar and the Adventures of Badou,3,65,"Canada, France",2010,2015,"Treehouse TV, Discovery Kids, YTV (Canada), TF1 (France)Disn, ey Junior (France)",CGI
Babble Bop!,1,72,United States,2021,Present,Peacock,CGI
Baby Blues,2,13,United States,2000,2002,"The WB, Adult Swim",Traditional
Baby Jake,1,52,United Kingdom,2011,2012,CBeebies,Flash
Baby Looney Tunes,4,53,United States,2001,2006,Kids' WB,Traditional
Baby Shark’s Big Show!,1,33,"South Korea, United States",2020,Present,"EBS Korea, Nickelodeon",Flash/Traditional
Back at the Barnyard,2,52,United States,2007,2011,"Nickelodeon, Nicktoons",CGI
Back to the Future,2,26,"France, US",1991,1993,CBS,Traditional
Bad Dog,2,40,"Canada, US",1998,1999,"Teletoon, Fox Family Channel",Traditional
Bada Talk,,12,"Denmark, Britain",2016,Present,"Netflix, CBeebies, Nick Jr.",Stop-motion
Bali,1,52,"France, Belgium, Canada",2005,2006,France 5,Traditional
Ballmastrz 9009,2,20,United States,2018,2020,Adult Swim,Flash
Balloon Barnyard,1,26,Australia,2017,2017,Disney Junior,CGI
Ballybraddan,,20,Ireland,2009,2009,RTÉ2,Flash
Bananas in Pyjamas (2011),3,156,Australia,2011,2013,"ABC2, Discovery Kids (Latin America), Boing (Spain)",CGI
Bangers and Mash,1,25,UK,1989,1989,Children's ITV,Traditional
Banja,1,26,France,2007,2007,Canal+,Flash
Barbapapa: One Big Happy Family!,1,52,France,2019,Present,"TF1 (France), Nick Jr. (Worldwide)",Traditional/Flash
Barbie: Life in the Dreamhouse,,,United States,2012,2015,"Netflix, YouTube",CGI
Barney,1,13,UK,1988,1989,BBC1,Traditional
Barnyard Commandos,1,13,US,1990,1990,Syndication,Traditional
Barry Tales,,40,United States,2013,Present,YouTube,Traditional
Bat Pat,2,104,"Italy, Spain",2015,2019,"Rai Gulp (Italy), RTVE (Spain)",Traditional
Bat Pat,2,104,Italian,2016,Present,Rai Gulp,Flash
Batman Beyond,3,52,US,1999,2001,Kids' WB,Traditional
Batman: The Animated Series,2,85,US,1992,1995,Fox Kids,Traditional
Batman: The Brave and the Bold,3,65,United States,2008,2011,Cartoon Network,Traditional
Battle for Dream Island,4,63,USA,2010,Present,YouTube,Flash
Battle Kitty,1,9,United States,2022,2022,Netflix,CGI
BattleTech: The Animated Series,1,13,US,1994,1994,Fox,Traditional
Batwheels,TBA,TBA,United States,2022,2022,Cartoonito / HBO Max,CGI
Baymax!,1,6,United States,2022,Present,Disney+,CGI
BB3B,1,13,Britain,2005,2005,CBBC,Traditional
"Be Cool, Scooby-Doo!",2,52,United States,2015,2018,"Cartoon Network (episodes 1–20), Boomerang (episodes 21–26, 42–52), Boomerang SVOD (episodes 27–41)",Traditional
Be-Be-Bears,8,208,Russia,2015,Present,Karusel,CGI
Beached Az,,21,Australia,2009,2010,ABC,Traditional
Beast Machines: Transformers,2,26,"Canada, US",1999,2000,"Fox Kids, YTV",CGI
Beast Wars: Transformers,3,52,"Canada, US",1996,1999,"CBS, YTV",CGI
Beat Bugs,3,52,"Australia, Canada",2016,2018,"7TWO, Netflix",CGI
Beavis and Butt-head,8,222,US,1993,1997,MTV,Traditional
Bee and PuppyCat,2,26,United States,2013,2020,YouTube,Traditional
Beethoven,1,24,US,1994,1995,CBS,Traditional
Beetlejuice,4,94,US,1989,1991,"ABC, Fox Kids",Traditional
Being Ian,3,63,Canada,2005,2008,YTV,Flash
Belle and Sebastian,1,52,"Canada, France",2017,2019,"Ici Radio-Canada Télé, M6 (TV channel)",Flash
Ben & Holly's Little Kingdom,,52,Britain,2009,2012,Nick Jr,Flash
Ben 10 (2005),4,52,United States,2005,2008,Cartoon Network,Traditional
Ben 10 (2016),4,178,United States,2017,2021,Cartoon Network,Traditional
Ben 10: Alien Force,3,46,United States,2008,2010,Cartoon Network,Traditional
Ben 10: Omniverse,8,80,United States,2012,2014,Cartoon Network,Traditional
Ben 10: Ultimate Alien,3,52,United States,2010,2012,Cartoon Network,Traditional
Bernard,,52,"France, South Korea, Spain",2004,2012,"EBS, M6, BBC",CGI
Berry Bees,,52,"Australia, India, Ireland, Italy, Singapore",2019,Present,9Go!,Flash
Bert and Ernie's Great Adventures,2,52,"United States, Italian",2007,2011,PBS Kids,Stop motion
Best & Bester,TBA,TBA,Canada,2022,2022,YTV,Flash
Best Bugs Forever,1,52,France,2019,Present,"Disney Channel (UK), France Télévisions",Traditional/Flash
Best Ed,,26,Canada,2008,2009,Teletoon,Flash
Best Furry Friends,,13,Australia,2019,Present,"Boomerang Australia, 9Go!",CGI
Betsy's Kindergarten Adventures,,26,United States,2008,2008,PBS Kids,Traditional
Between the Lions,10,130,United States,2000,2010,PBS Kids,"Traditional/Live-action, CGI"
Beverly Hills Teens,1,65,US,1987,1987,Syndication,Traditional
Beware the Batman,1,26,United States,2013,2014,Cartoon Network,CGI
Big Blue,1,20,Canada,2021,Present,"CBC Kids (Canada), Nicktoons (United Kingdom), ABC ME (Australia)",Flash
Big Guy and Rusty the Boy Robot,2,26,US,1999,2001,Fox Kids,Traditional
Big Hero 6: The Series,3,56,United States,2017,2021,"Disney XD, Disney Channel",Traditional
Big Mouth,5,51,United States,2017,Present,Netflix,Traditional
Big Nate,1,8,United States,2022,Present,Paramount+,CGI
Big Tree City,1,15,United Kingdom,2022,Present,Netflix,CGI
Bigfoot Presents: Meteor and the Mighty Monster Trucks,,26,"Canada, United States",2006,2006,Discovery Kids,CGI
Biker Mice from Mars,3,65,US,1993,1996,Syndication,Traditional
Biker Mice from Mars,,28,"Britain, United States",2006,2007,"CITV, 4Kids TV",Traditional/Flash
Bill & Ted's Excellent Adventures,2,21,US,1990,1991,"CBS, Fox Kids",Traditional
Billy,1,52,France,1998,1999,France 3,Traditional
Billy Dilley's Super-Duper Subterranean Summer,,13,United States,2017,2017,Disney XD,Traditional
Billy the Cat,2,52,"Canada, France, Germany",1996,2001,Teletoon,Traditional
Bimble's Bucket,3,39,UK,1996,1998,CITV,Traditional
Bing,,104,Britain,2014,2019,CBeebies,CGI
Binka,1,26,Britain,2001,2001,BBC Kids,Traditional
Bino and Fino,1,12,Nigeria,2010,Present,YouTube,Flash
Bionic Max,1,52,France,2021,2021,Cartoon Network,Flash
Bionic Six,2,65,US,1987,1987,USA Network,Traditional
Birdgirl,2,12,United States,2021,Present,Adult Swim,Flash
Birdz,1,13,Canada,1998,1999,CBS,Traditional
Bitz & Bob,2,42,"Canada, Britain",2018,Present,"CBeebies, Nat Geo Kids",CGI
Black Dynamite,2,20,United States,2012,2015,Adult Swim,Flash
Black Panther,,6,United States,2011,2011,BET,Flash
Blake and Mortimer,1,26,"Canada, France",1997,1998,Canal+,Traditional
Blaster's Universe,1,13,"Canada, US",1999,2000,"CBS, Teletoon",Traditional
Blaze and the Monster Machines,,52,"Canada, United States",2014,Present,Nick Jr.,CGI
Blazing Dragons,2,26,"Canada, France",1996,1998,Teletoon,Traditional
Blazing Team: Masters of Yo Kwon Do,2,42,"China, United States",2015,2017,"Discovery Family (United States), iQiyi (China)",Flash
Bless the Harts,2,34,United States,2019,2021,Fox,Traditional
Blippi Wonders,1,28,United States,2021,Present,YouTube,CGI
Block 13,3,45,Kuwait,2000,2002,Kuwait TV,Traditional
Blood of Zeus,1,8,United States,2020,Present,Netflix,Traditional
Bloody Bunny,1,1,Thailand,2016,2016,"2Spot Studios, RIFF Animation Studio",CGI
Bloody Bunny (2007),,20,"Thailand, Japan",2007,2010,Channel [V] Thailand,Flash
Blue's Clues,6,146,"US,UK",1996,2006,Nickelodeon,"Traditional, Live-Action"
Blue's Clues & You!,,20,"Canada, United States",2019,Present,"Nickelodeon, Treehouse",CGI/Flash
Bluey,3,141,Australia,2018,Present,"ABC Kids (Australia), Disney Junior (Worldwide)",Flash
Bo on the Go!,,16,Canada,2007,2009,CBC Kids,CGI
Bob & Doug,,15,Canada,2009,2011,Global,Flash
Bob and Margaret,4,52,"Canada, UK",1998,2001,"Global, Channel 4",Traditional
Bob Morane,1,26,France,1998,1998,Canal +,Traditional
Bob the Builder,9,117,Ireland,1998,2004,RTE,Stop-Motion
Bob the Builder (2015),3,130,United Kingdom,2015,2018,"Channel 5 (United Kingdom), PBS Kids (United States), Family Jr. (Canada)",CGI
Bob the Builder (from Project: Build It),6,93,Britain,2005,2008,"CBeebies (United Kingdom), Nick Jr. (United States), PBS Kids (United States), Discovery Kids (Latin American)",Stop-Motion
"Bob the Builder: Ready, Steady, Build!",1,40,UK,2010,2011,"CBeebies, PBS Kids",CGI
Bob's Burgers,12,218,United States,2011,Present,"Fox, FXX",Flash (season 1)/Traditional (other seasons)
Bobby's World,7,81,US,1990,1998,Fox Kids,Traditional
Bobobobs,2,26,Spain,1988,1989,TV3,Traditional
BoBoiBoy,3,39,Malaysia,2011,2016,TV3,CGI
BoBoiBoy Galaxy,2,30,Malaysia,2016,2018,TV3,CGI
Bobtales,1,13,Australia,1997,1997,SBS,Traditional
Boj,,51,"Britain, Ireland",2014,2015,CBeebies,Flash
BoJack Horseman,,77,United States,2014,2020,Netflix,Flash
Bolts and Blip,1,26,"Canada, South Korea",2010,2011,Teletoon,CGI
Bondi Band,1,52,"Italy, Spain",2011,2011,Disney XD,Flash
Bonkers,4,65,US,1993,1994,"CBS, The Disney Channel, Syndication",Traditional
Boo!,,65,Britain,2003,2005,Discovery Kids,CGI/Traditional
Book Hungry Bears,,104,"Britain, Canada",2018,2019,CBeebies,CGI
Boon and Pimento,1,30,France,2020,2020,YouTube,CGI
Boonie Bears,,200,China,2012,Present,CCTV,CGI
Bordertown,1,13,United States,2016,2016,Fox,Flash
Boris and Rufus,2,39,Brazil,2018,Present,Disney XD,Flash
Bottersnikes and Gumbles,1,52,"Australia, Britain",2015,2016,"Seven Network, CBBC, Netflix",CGI
Bouli,3,114,France,1989,1991,Antenne 2,Traditional
Bounty Hamster,,26,Britain,2003,2004,,Traditional
Bounty Hunters,1,13,"Canada, United States",2013,2013,CMT,Traditional
Boy Girl Dog Cat Mouse Cheese,1,52,"France, Ireland, United States",2019,Present,CBBC,Flash
Boyster,,40,"Britain, France",2014,2015,Disney XD,CGI
Braceface,3,78,"Canada, China",2001,2005,Teletoon,Traditional
Brad Neely's Harg Nallin Sclopio Peepio,1,10,United States,2016,2016,Adult Swim,Flash
Brady's Beasts,1,26,Canada,2005,2006,"YTV (Canada), Télé-Québec (Québec), TF1 (France)",Traditional
Brandy & Mr. Whiskers,2,39,United States,2004,2006,Disney Channel,Flash
Bratz,2,40,United States,2005,2007,"Cartoon Network, 4Kids TV",CGI
Brave Bunnies,1,50,United Kingdom,2021,Present,Milkshake!,Flash
Bravest Warriors,4,82,United States,2012,2018,"YouTube, Teletoon",Traditional
BraveStarr,1,65,US,1987,1988,USA Network,Traditional
Brawl of The Objects,,13,Canada,2013,2018,YouTube,Flash
Breadwinners,,40,United States,2014,2016,Nickelodeon,Flash
Brichos,,13,Brazil,2014,2016,TV Brasil,Flash
Brickleberry,,36,United States,2012,2015,Comedy Central,Flash (season 1)/Toon Boom (season 2–3)
Bro'Town,,32,English (New Zealand),2004,2009,TV3,Traditional
Bromwell High,1,13,"Britain, Canada",2005,2005,"Channel 4 (United Kingdom), Teletoon (Canada)",Flash
Bruno and the Banana Bunch,,26,Canada,2007,2007,CBC Kids,CGI
Bruno the Kid,1,36,US,1996,1997,Syndication,Traditional
Bubble Guppies,5,88,"Canada, United States",2011,2016,Nickelodeon,"CGI, Traditional"
Bubble Guppies,5,88,"Canada, United States",2019,Present,Nickelodeon,"CGI, Traditional"
Bubu and the Little Owls,,26,Brazil,2018,2021,Disney Junior,Flash
Bucky O'Hare and the Toad Wars,1,13,US,1991,1991,Syndication,Traditional
Buddi,2,16,United States,2020,2020,Netflix,CGI
Budgie the Little Helicopter,3,39,UK,1994,1996,"Fox Kids, CITV",Traditional
Bug Diaries,,20,United States,2019,2020,Amazon Prime Video,CGI/Flash
Bugs 'n' Daffy,1,108,US,1995,1998,Kids' WB,Traditional
Bugs Bunny Builders,1,8,United States,2022,Present,Cartoonito / HBO Max,Traditional
Bugsbot Ignition,,26,South Korea,2019,Present,Tooniverse,Traditional/CGI
Builder Brothers' Dream Factory,TBA,TBA,Canada,2022,2022,Treehouse TV,CGI
Bump,2,27,UK,1990,1994,Children's BBC,Traditional
Bump in the Night,2,26,US,1994,1995,ABC,Live-Action/Stop-Motion
Bunnicula,3,104,United States,2016,2018,"Boomerang, Cartoon Network",Flash
Bunny Maloney,,52,France,2009,2011,Canal+,CGI
Bunsen Is a Beast,1,26,United States,2017,2018,Nickelodeon,Flash
Bunty Billa Aur Babban,2,52,India,2022,Present,Discovery Kids,Flash
Bureau of Alien Detectors,1,13,US,1996,1996,UPN,Traditional
Busytown Mysteries,,5,Canada,2007,2010,CBC Kids,Flash
Butt-Ugly Martians,1,26,"Britain, United States",2002,2003,Nickelodeon,CGI
Butterbean's Café,2,60,"Ireland, United States",2018,2020,Nick Jr.,CGI
Buzz Lightyear of Star Command,2,65,United States,2000,2001,Toon Disney,Traditional
C Bear and Jamal,2,13,US,1996,1997,Fox Kids,Traditional
C.L.Y.D.E.,1,26,Canada,1990,1991,Global,Traditional
C.O.P.S.,1,65,US,1988,1989,Syndication,Traditional
Cadillacs and Dinosaurs,1,13,"US, Canada",1993,1994,CBS,Traditional
Caillou,5,144,Canada,1997,2010,Teletoon,"Traditional, Flash"
Cake,4,33,United States,2019,Present,FXX,Flash/Live-action
Calabash Brothers,1,13,China,1987,1987,,Traditional
Calimero (2014),2,104,"France, Italy, Japan",2014,2016,"TF1, Rai Yoyo, TV Tokyo",CGI
Camp Candy,3,19,US,1989,1992,NBC,Traditional
Camp Furly,TBA,TBA,United Kingdom,2022,2022,TBA,CGI
Camp Lakebottom,3,128,Canada,2013,2017,"Teletoon, Disney XD",Flash
Camp Lazlo,5,61,United States,2005,2008,Cartoon Network,Traditional
Can You Teach My Alligator Manners?,,20,"United States, Canada, Britain",2008,2009,Playhouse Disney,Flash
Canciones del Zoo La Serie,1,12,Argentina,2019,Present,YouTube,CGI
"Canimals, Canimals: We Can Do It!",2,64,"South Korea, United Kingdom, Spain",2011,2018,"EBS1, Disney XD, Clan",CGI / Live-Action
Capitol Critters,1,13,US,1992,1992,ABC,Traditional
Captain Biceps,1,78,France,2010,2011,France 3,Traditional
Captain Flamingo,,52,"Canada, Philippines",2006,2010,"YTV, GMA Network",Flash
Captain Flinn and the Pirate Dinosaurs,1,52,Australia,2015,2019,9Go!,Flash
Captain N: The Game Master,3,34,US,1989,1991,NBC,Traditional
Captain Planet and the Planeteers,6,113,US,1990,1996,TBS,Traditional
Captain Simian & the Space Monkeys,1,26,US,1996,1997,Syndication,Traditional
Captain Star,2,13,"Canada, Spain, UK",1997,1998,Teletoon,Traditional
Captain Zed and the Zee Zone,1,26,UK,1991,1991,CITV,Traditional
Care Bears & Cousins,2,12,United States,2015,2016,Netflix,CGI
Care Bears: Adventures in Care-a-lot,2,26,United States,2007,2008,CBS,"Flash (theme song), Traditional (episodes)"
Care Bears: Unlock the Magic,1,49,United States,2019,2020,"Boomerang, Cartoon Network",Flash
Care Bears: Welcome to Care-a-Lot,,27,"Canada, United States",2012,2012,The Hub,CGI
Carl²,4,65,Canada,2005,2011,Teletoon,Flash
Carland Cross,1,26,"Belgium, Canada, France",1996,1997,"Canal+, Télétoon, TF1",Traditional
Carmen Sandiego,3,25,"Canada, United States",2019,2021,Netflix,Flash
Carrossel,,26,Brazil,2016,2016,SBT,Flash
Cars on the Road,1,9,United States,2022,2022,Disney+,CGI
Cars Toons,2 Toon Series,15,United States,2008,2013,Disney Channel,CGI
Cartoon Alley,,47,United States,2004,2007,Turner Classic Movies,Traditional
Cartoon Planet,3,146,US,1995,1998,Cartoon Network,Traditional
Cartoon Planet,3,146,US,2012,2014,Cartoon Network,Traditional
Cartoon Sushi,1,13,"US, Canada",1997,1998,MTV,Traditional
Casper's Scare School,2,52,"France, India, United States",2009,2012,Cartoon Network,CGI
